row_id	archive_payment_id	created_at	customer_ref	store_ref	store_city	amount_cents	currency	payment_method_fingerprint	device_fingerprint	observed_lat	observed_lon	sku_summary	archive_channel
AR-bKg5b4	ap_AvFyRCoKac	2022-07-16T10:54:48Z	arch_cust_052	arch_store_bratislava_stare_mesto	Bratislava	1300	EUR	pm_arch_s7dyPTvpGyxW	dev_arch_MU3ic5Y5fTth	48.14359	17.10936	Hager Workshop HAG 1RH-81U	store_terminal
AR-DNB2kX	ap_7Xw665iNHG	2022-07-16T13:01:48Z	arch_cust_022	arch_store_brno_veveri	Brno	31800	EUR	pm_arch_NMdH9awepHjR	dev_arch_LxAkfbBUArJX	49.20472	16.59383	Metabo Bench BS 1H0-06I	store_terminal
AR-HuTEg1	ap_QT72ASoUJU	2022-07-16T17:04:48Z	arch_cust_097	arch_store_innsbruck_wilten	Innsbruck	10600	EUR	pm_arch_VgQdKbD6aNMZ	dev_arch_NG9k58LkeeKY	47.25801	11.38951	Gorilla Heavy Duty GG 836-1A0	store_terminal
AR-KoJCFZ	ap_XctmdaLC8c	2022-07-16T17:09:48Z	arch_cust_023	arch_store_vienna_praterstern	Vienna	5700	EUR	pm_arch_MzJmQ6o8TeGW	dev_arch_BAnn5HTaXaJM	48.21919	16.39268	Legrand Valena Plexo 2UK-M0J	web
AR-goBadT	ap_XTxbdG8M5Z	2022-07-16T19:02:48Z	arch_cust_091	arch_store_salzburg_elisabeth_vorstadt	Salzburg	7000	EUR	pm_arch_Lg95CxZ9UYEM	dev_arch_Vp1TSMy3jMTr	47.81316	13.04561	Wurth Universal WU 30Y-BPU	web
AR-iYaG8J	ap_Nz6ZNNShUr	2022-07-16T20:49:48Z	arch_cust_033	arch_store_graz_jakomini	Graz	368400	EUR	pm_arch_UPNkRk9FEZWk	dev_arch_XZtUP3EB4Cbp	47.06543	15.44293	Bernardo Silent BM 3OB-CQO	web
AR-TaJg2d	ap_2K3e6QQRmA	2022-07-16T22:01:48Z	arch_cust_068	arch_store_vienna_praterstern	Vienna	44200	EUR	pm_arch_KdpEg1kX9WGW	dev_arch_TkPV1FCFLY4E	48.21888	16.39243	Stanley Classic STA CEQ-WUX	web
AR-44H1Wq	ap_GcRF2kbFx4	2022-07-16T22:18:48Z	arch_cust_073	arch_store_linz_hauptplatz	Linz	12700	EUR	pm_arch_GZZjmRuPRTuF	dev_arch_7SVX84yVi5qi	48.30662	14.28550	Caparol Premium Capa 32D-5X8	web
AR-UFbbeG	ap_GVKEPuTqeC	2022-07-17T01:10:48Z	arch_cust_044	arch_store_linz_hauptplatz	Linz	22200	EUR	pm_arch_8N5FFnREFtRq	dev_arch_RwrUxfsYGuGo	48.30697	14.28603	Milwaukee Professional FUEL NRG-ONK	web
AR-WMMKuZ	ap_M3rLXDz2oC	2022-07-17T07:13:48Z	arch_cust_012	arch_store_brno_veveri	Brno	5900	EUR	pm_arch_FDSEfc4YbDci	dev_arch_LdQ5ur5L5xQ1	49.20456	16.59350	Castrol Workshop MAGNATEC 213-NWR	web
AR-WwyL6B	ap_Sht4CCWfKS	2022-07-17T07:21:48Z	arch_cust_050	arch_store_vienna_meidling	Vienna	9600	EUR	pm_arch_316JPxWMyLS9	dev_arch_31Q4rc7ypZtA	48.17482	16.33557	Carhartt Stretch Rugged 3EY-11K	store_terminal
AR-cxkN1K	ap_UpzUQYKzgS	2022-07-17T07:21:48Z	arch_cust_006	arch_store_innsbruck_wilten	Innsbruck	3600	EUR	pm_arch_GDUkcSke2kNE	dev_arch_4GKc9WufNMaj	47.25795	11.38960	Karcher WD SC 1PM-1UM	store_terminal
AR-b3SZ6D	ap_HYQcZDvJ8D	2022-07-17T08:01:48Z	arch_cust_084	arch_store_innsbruck_wilten	Innsbruck	10000	EUR	pm_arch_TyZYuwd3hL4B	dev_arch_8TsQ1Ayi7qsr	47.25835	11.38967	Bostik Flexible Fix 3S9-FF7	store_terminal
AR-Miy7UB	ap_TGJtKyBGzy	2022-07-17T08:29:48Z	arch_cust_007	arch_store_innsbruck_wilten	Innsbruck	2600	EUR	pm_arch_3nMgZBNSdEgR	dev_arch_17AZTYQPEPag	47.25808	11.38937	Osram Eco Classic 3PW-R88	store_terminal
AR-JXN6bs	ap_R9ZJk9ZW2U	2022-07-17T09:07:48Z	arch_cust_091	arch_store_vienna_praterstern	Vienna	244600	EUR	pm_arch_AoaaqFEtqLYj	dev_arch_Vp1TSMy3jMTr	48.21932	16.39241	Einhell Precision GC 3FR-N91	mobile_app
AR-6uAi6c	ap_Y4eeUb84Fj	2022-07-17T09:13:48Z	arch_cust_056	arch_store_innsbruck_wilten	Innsbruck	4300	EUR	pm_arch_SZT8dC2VTXwd	dev_arch_K6Ls3vKBq27Y	47.25841	11.38908	Loctite Threadlocker EA 3UJ-5ML	web
AR-9BL8cz	ap_7pPk419fDx	2022-07-17T11:09:48Z	arch_cust_030	arch_store_vienna_meidling	Vienna	3900	EUR	pm_arch_Jj7zkD83mkW3	dev_arch_Co8CdoZ7YGb2	48.17532	16.33528	Fischer Universal SX 1PF-JY8	web
AR-7j5rKE	ap_BmE1AXmDG7	2022-07-17T12:14:48Z	arch_cust_087	arch_store_ljubljana_center	Ljubljana	3100	EUR	pm_arch_DbVUtpeeuZFg	dev_arch_HaRsKkVamcUv	46.05116	14.50483	Leifheit Fresh Profi NBC-KFA	web
AR-VkHGqq	ap_8q4Zu55L7e	2022-07-17T12:41:48Z	arch_cust_085	arch_store_graz_jakomini	Graz	7900	EUR	pm_arch_C4XBPhePvJrt	dev_arch_Re3aFEtZVFG6	47.06537	15.44314	Wera Kraftform WE 114-C1B	web
AR-QEhWkB	ap_SJzfXdvxAk	2022-07-17T13:54:48Z	arch_cust_023	arch_store_innsbruck_wilten	Innsbruck	3000	EUR	pm_arch_QtyHZkuNYK8h	dev_arch_BAnn5HTaXaJM	47.25855	11.38928	Carhartt Stretch Rugged 3EY-11K	web
AR-PrqiFV	ap_Frn3BsURCq	2022-07-17T19:23:48Z	arch_cust_085	arch_store_ljubljana_center	Ljubljana	3200	EUR	pm_arch_C4XBPhePvJrt	dev_arch_Re3aFEtZVFG6	46.05145	14.50501	Loctite Threadlocker EA 3UJ-5ML	web
AR-axUNG9	ap_DSjZTLViWf	2022-07-17T20:19:48Z	arch_cust_062	arch_store_linz_hauptplatz	Linz	11300	EUR	pm_arch_VeveXqMAG8V8	dev_arch_DydBa2WSXmDE	48.30677	14.28595	Einhell Precision TC 18S-EZS	store_terminal
AR-jnYTCG	ap_2Zhcn68Law	2022-07-17T20:40:48Z	arch_cust_090	arch_store_innsbruck_wilten	Innsbruck	199800	EUR	pm_arch_9te3bwpw9kvj	dev_arch_jnbx1VJw8Nt3	47.25823	11.38949	Makita Smart DGA 1TP-QFS	web
AR-6VjGaM	ap_LgffUTSaHg	2022-07-17T21:49:48Z	arch_cust_076	arch_store_bratislava_stare_mesto	Bratislava	77600	EUR	pm_arch_8TMzdCqL8Q6b	dev_arch_AQuwuZYtdEpJ	48.14404	17.10993	DeWalt Professional DCG 2BH-302	web
AR-7uHM6p	ap_63g7YcACPe	2022-07-18T00:23:48Z	arch_cust_084	arch_store_brno_veveri	Brno	2900	EUR	pm_arch_TyZYuwd3hL4B	dev_arch_8TsQ1Ayi7qsr	49.20469	16.59394	Fischer Outdoor SX NT9-HP1	store_terminal
AR-eWaepX	ap_5cUsjPreU6	2022-07-18T00:45:48Z	arch_cust_071	arch_store_graz_jakomini	Graz	16400	EUR	pm_arch_A52AGPgbUfTA	dev_arch_LDhW3L5eCXFX	47.06552	15.44320	Gedore Red GED 1CA-RS0	store_terminal
AR-DBXagh	ap_JxQMxUYobo	2022-07-18T01:28:48Z	arch_cust_029	arch_store_bratislava_stare_mesto	Bratislava	8200	EUR	pm_arch_XQMcXko6o1Fw	dev_arch_TTc1SQdNqP63	48.14367	17.10949	Michelin Winter Radius 75U-4UQ	store_terminal
AR-8jwDhr	ap_T679A8G2uP	2022-07-18T03:35:48Z	arch_cust_057	arch_store_ljubljana_center	Ljubljana	8400	EUR	pm_arch_U7Ld82ovQd4C	dev_arch_JgTNfWGUuWGn	46.05125	14.50516	Liqui Moly Top Tec Top Tec 2GD-ORS	web
AR-QaLU7f	ap_RNaPCZGJqX	2022-07-18T03:47:48Z	arch_cust_053	arch_store_graz_lend	Graz	15800	EUR	pm_arch_D394zrLMFewG	dev_arch_Nq5vvuMYXeb1	47.07353	15.42602	Caparol Premium Capa 32D-5X8	web
AR-FCXVbt	ap_68Vabekk9s	2022-07-18T08:01:48Z	arch_cust_005	arch_store_ljubljana_center	Ljubljana	99900	EUR	pm_arch_nwW1ef9o1xrs	dev_arch_KBnAMJtmip5t	46.05089	14.50512	Makita Smart DGA 1TP-QFS	web
AR-JyP8Zv	ap_Ktj6Z29kfk	2022-07-18T08:13:48Z	arch_cust_011	arch_store_vienna_praterstern	Vienna	19600	EUR	pm_arch_5VQLQYSyP9Ae	dev_arch_QSHwiHRyHeDm	48.21883	16.39273	Carhartt Stretch Rugged 3EY-11K	web
AR-Tz1HTh	ap_5hgGfvhfzs	2022-07-18T09:41:48Z	arch_cust_038	arch_store_bratislava_stare_mesto	Bratislava	1700	EUR	pm_arch_KktAJDtkvrUL	dev_arch_6SdB1hBGqJJu	48.14418	17.10990	3M SecureFit Aura TUM-I54	store_terminal
AR-ozycDp	ap_5bGjhWtWb5	2022-07-18T12:37:48Z	arch_cust_048	arch_store_graz_jakomini	Graz	129600	EUR	pm_arch_3TxSPSafxAx3	dev_arch_BfgY1hnPXt56	47.06515	15.44317	Karcher WD K 64Z-XM1	store_terminal
AR-LNkXPN	ap_TS6s1N9oYg	2022-07-18T14:09:48Z	arch_cust_098	arch_store_linz_hauptplatz	Linz	29200	EUR	pm_arch_BzPcx3c6nSu5	dev_arch_FPiJbsgncbHf	48.30705	14.28590	Karcher Workshop SC 27T-68S	web
AR-d42g1u	ap_R4tEeZBpLB	2022-07-18T17:09:48Z	arch_cust_098	arch_store_brno_veveri	Brno	17100	EUR	pm_arch_SvoCHWMYT2Wx	dev_arch_Pgj7JXEiqxmK	49.20491	16.59387	Hansgrohe Compact Logis 1ZN-TEP	web
AR-iNYE3c	ap_7YW1WqU9xj	2022-07-18T17:13:48Z	arch_cust_059	arch_store_ljubljana_center	Ljubljana	49800	EUR	pm_arch_PbdDhZ54wHVU	dev_arch_ArWoP7t2Esbg	46.05112	14.50504	Uponor Press Fit Aqua 35M-6XO	web
AR-GXYqQK	ap_RvVk5vXda4	2022-07-18T17:50:48Z	arch_cust_036	arch_store_salzburg_elisabeth_vorstadt	Salzburg	5400	EUR	pm_arch_V6NuPDMGc62V	dev_arch_KjpE6MYudHmB	47.81291	13.04596	Keter Compact Stack 99Z-RIS	web
AR-DELkvJ	ap_8Zzk9E1Gzc	2022-07-18T20:13:48Z	arch_cust_091	arch_store_vienna_meidling	Vienna	9200	EUR	pm_arch_Lg95CxZ9UYEM	dev_arch_M99FQ91KQuA9	48.17505	16.33520	Liqui Moly Top Tec Top Tec 2GD-ORS	web
AR-MRLYHe	ap_MK4BgR5x55	2022-07-18T21:16:48Z	arch_cust_090	arch_store_ljubljana_center	Ljubljana	2600	EUR	pm_arch_9te3bwpw9kvj	dev_arch_jnbx1VJw8Nt3	46.05129	14.50540	Honeywell Pro HW 2GM-UMP	web
AR-SwEPKk	ap_8x9V9E1Psk	2022-07-18T21:35:48Z	arch_cust_004	arch_store_innsbruck_wilten	Innsbruck	6800	EUR	pm_arch_8JcyA59UsZ5n	dev_arch_MAHcCdoArYJM	47.25816	11.38913	Uvex Bionic x-fit Y59-F8N	store_terminal
AR-WTRmUq	ap_9LTuYXNWtf	2022-07-19T03:13:48Z	arch_cust_041	arch_store_graz_lend	Graz	4200	EUR	pm_arch_VKYGPfek9KqX	dev_arch_8RgZebKXzNRa	47.07326	15.42614	Uvex Industrial uvex 2KV-937	web
AR-BZkHsM	ap_TFHDgAFxgt	2022-07-19T06:01:48Z	arch_cust_094	arch_store_vienna_praterstern	Vienna	167600	EUR	pm_arch_DweZe1Bv7y3w	dev_arch_2iYAqBRzTUDW	48.21924	16.39248	Bosch Precision PKS 3Q6-CLK	web
AR-GUkztt	ap_XtcU53D7Mf	2022-07-19T07:09:48Z	arch_cust_063	arch_store_graz_jakomini	Graz	4300	EUR	pm_arch_SAT49p2CJ1JH	dev_arch_PvQLnXqZYrxZ	47.06557	15.44293	Hager Workshop HAG 1RH-81U	web
AR-NeHoxB	ap_JCXWpZ8cDX	2022-07-19T07:33:48Z	arch_cust_100	arch_store_innsbruck_wilten	Innsbruck	5000	EUR	pm_arch_N9B3J4HVkoDx	dev_arch_W8zLckzoTVH6	47.25864	11.38929	Ansell HyFlex ActivArmr 1DI-VG8	web
AR-KABJBZ	ap_NKiYTrRg2f	2022-07-19T08:34:48Z	arch_cust_095	arch_store_linz_hauptplatz	Linz	59600	EUR	pm_arch_XgM1MrR2cBxw	dev_arch_KRNYz3Y9GxWy	48.30658	14.28587	Keter Mobile KET 3R8-36F	store_terminal
AR-6fA7bC	ap_EKHWag5Cxr	2022-07-19T08:46:48Z	arch_cust_068	arch_store_linz_hauptplatz	Linz	8600	EUR	pm_arch_JRe2Wx2XjuZX	dev_arch_QFVk8wBDev1L	48.30671	14.28583	Helios Quick Dry Mobihel 1VV-8Y1	web
AR-muAcvd	ap_4Poeq6c8kP	2022-07-19T14:49:48Z	arch_cust_092	arch_store_ljubljana_center	Ljubljana	11000	EUR	pm_arch_NsLjDy6bC74d	dev_arch_5hqMpbg17UPK	46.05106	14.50496	Fischer Universal SX 1PF-JY8	web
AR-LwkJWA	ap_Wn4zKXYHZA	2022-07-19T16:37:48Z	arch_cust_008	arch_store_vienna_praterstern	Vienna	28600	EUR	pm_arch_FYhVMXkCHE25	dev_arch_3H53h6entV3p	48.21873	16.39226	Giacomini R Series R 1PA-6JD	store_terminal
AR-GAKnDj	ap_76CipgvCmL	2022-07-19T16:58:48Z	arch_cust_047	arch_store_graz_jakomini	Graz	54400	EUR	pm_arch_TZW5bAE8ZU91	dev_arch_A11HJAvJpTkJ	47.06525	15.44329	Black+Decker Home GTC 3PT-1Y9	web
AR-hsXkoL	ap_TJDL8jdW7W	2022-07-19T17:04:48Z	arch_cust_094	arch_store_brno_veveri	Brno	11600	EUR	pm_arch_DweZe1Bv7y3w	dev_arch_2iYAqBRzTUDW	49.20492	16.59368	Wago Compact 222 3V7-GBQ	web
AR-irxWs5	ap_DQX2792Ubo	2022-07-19T18:25:48Z	arch_cust_053	arch_store_graz_lend	Graz	6200	EUR	pm_arch_D394zrLMFewG	dev_arch_Nq5vvuMYXeb1	47.07348	15.42604	Facom Comfort Grip R 26K-PFN	web
AR-HVW6vk	ap_QmYtiKE271	2022-07-19T22:10:48Z	arch_cust_027	arch_store_vienna_meidling	Vienna	7200	EUR	pm_arch_6bRVtCchEFkk	dev_arch_6FKNtakoKHNv	48.17525	16.33536	Michelin Winter Radius 75U-4UQ	store_terminal
AR-8avzaE	ap_K4No6RKwdq	2022-07-20T01:20:48Z	arch_cust_088	arch_store_bratislava_stare_mesto	Bratislava	2600	EUR	pm_arch_GMKEVxsCdvoj	dev_arch_KbKMSaPLQrAg	48.14417	17.10954	Ansell HyFlex ActivArmr 1DI-VG8	store_terminal
AR-Nr9s3C	ap_8btMDnmPnk	2022-07-20T03:17:48Z	arch_cust_073	arch_store_vienna_praterstern	Vienna	10500	EUR	pm_arch_GZZjmRuPRTuF	dev_arch_7SVX84yVi5qi	48.21885	16.39282	Hager Workshop HAG 1RH-81U	web
AR-YtHYzQ	ap_XzKiP5ZefM	2022-07-20T04:17:48Z	arch_cust_065	arch_store_graz_jakomini	Graz	44800	EUR	pm_arch_7V2YH4d3juXx	dev_arch_BxXgshrGq7ij	47.06545	15.44297	Makita Precision DDF 26V-AVZ	store_terminal
AR-aH53y4	ap_FZkhad2hEB	2022-07-20T08:37:48Z	arch_cust_085	arch_store_ljubljana_center	Ljubljana	35800	EUR	pm_arch_C4XBPhePvJrt	dev_arch_G2mHpeCoBW7S	46.05106	14.50486	Karcher WD K 64Z-XM1	store_terminal
AR-DaUPuN	ap_QvYkkvV9Zq	2022-07-20T08:55:48Z	arch_cust_059	arch_store_linz_hauptplatz	Linz	2500	EUR	pm_arch_4uJjozSMZ7aJ	dev_arch_WHt14ZPmV2xF	48.30677	14.28554	Gorilla Heavy Duty GG 836-1A0	store_terminal
AR-gcSMsK	ap_AGqyq3yfyQ	2022-07-20T09:08:48Z	arch_cust_095	arch_store_bratislava_stare_mesto	Bratislava	6000	EUR	pm_arch_XgM1MrR2cBxw	dev_arch_KRNYz3Y9GxWy	48.14355	17.11002	Irwin Vise-Grip Vise-Grip 3QR-2ZH	web
AR-RVgCcd	ap_4gmaQtB7RB	2022-07-20T10:01:48Z	arch_cust_059	arch_store_vienna_praterstern	Vienna	15000	EUR	pm_arch_4uJjozSMZ7aJ	dev_arch_ArWoP7t2Esbg	48.21914	16.39241	Karcher Professional FC 33Z-7OP	web
AR-ASiKxP	ap_9JttVFuAYs	2022-07-20T17:01:48Z	arch_cust_045	arch_store_bratislava_stare_mesto	Bratislava	1600	EUR	pm_arch_QxHeysMXS4wM	dev_arch_TgsMwqBoyqpc	48.14382	17.10992	Ceresit Universal CT OY1-0BK	web
AR-6REkPZ	ap_12uuVLUfQw	2022-07-20T19:37:48Z	arch_cust_083	arch_store_brno_veveri	Brno	19200	EUR	pm_arch_SjdGu5HFwdnH	dev_arch_LQBLTvE2cGUU	49.20480	16.59358	Raaco Stackable Assorter 20C-L8E	store_terminal
AR-LKg25M	ap_X4E5HAx5fE	2022-07-20T21:13:48Z	arch_cust_014	arch_store_ljubljana_center	Ljubljana	11200	EUR	pm_arch_UB5DsJoQLjEU	dev_arch_E21JKSzyAUZR	46.05125	14.50488	Mascot Pro ADV BAD-758	store_terminal
AR-8J1KcF	ap_RpZMbn5aRc	2022-07-20T21:27:48Z	arch_cust_044	arch_store_ljubljana_center	Ljubljana	14800	EUR	pm_arch_8N5FFnREFtRq	dev_arch_RwrUxfsYGuGo	46.05125	14.50525	AlcaPlast Universal Basic 1CT-04J	web
AR-EKqydp	ap_P6p2mNCixb	2022-07-20T22:04:48Z	arch_cust_057	arch_store_salzburg_elisabeth_vorstadt	Salzburg	13000	EUR	pm_arch_As51i6dNjLK6	dev_arch_WnrAisAGeFeY	47.81297	13.04573	Wavin Compact Tigris 2HC-AJD	web
AR-VeGRyP	ap_HiJPevMoGE	2022-07-21T03:13:48Z	arch_cust_024	arch_store_vienna_meidling	Vienna	10500	EUR	pm_arch_4Ca2YpYa1NjH	dev_arch_9t3LbC5ycwrC	48.17471	16.33585	Hager Workshop HAG 1RH-81U	store_terminal
AR-a7ksbn	ap_G6KWh94fac	2022-07-21T11:48:48Z	arch_cust_099	arch_store_brno_veveri	Brno	30000	EUR	pm_arch_EZaqFCKBQfwX	dev_arch_MZpfUMooAvQ7	49.20425	16.59358	Uvex Bionic x-fit Y59-F8N	web
AR-cFgP5s	ap_H34H84CQpC	2022-07-21T14:50:48Z	arch_cust_099	arch_store_innsbruck_wilten	Innsbruck	2800	EUR	pm_arch_EZaqFCKBQfwX	dev_arch_8RVFzSCNCpiF	47.25843	11.38964	Michelin Compact Radius XBS-24G	web
AR-TKMeT4	ap_JzetbBijrW	2022-07-21T18:09:48Z	arch_cust_040	arch_store_graz_lend	Graz	429600	EUR	pm_arch_MurJUHZSGABD	dev_arch_RvP49LiQGjQD	47.07370	15.42605	Makita LXT DDF WIL-JD6	web
AR-H5Tih4	ap_WyZv8ZKeDn	2022-07-21T18:34:48Z	arch_cust_085	arch_store_brno_veveri	Brno	71600	EUR	pm_arch_Kmyeaw89khTB	dev_arch_Re3aFEtZVFG6	49.20438	16.59347	Keter Mobile KET 3R8-36F	web
AR-RrQwoh	ap_HFQJ4ZLm9d	2022-07-21T18:43:48Z	arch_cust_100	arch_store_ljubljana_center	Ljubljana	4200	EUR	pm_arch_N9B3J4HVkoDx	dev_arch_W8zLckzoTVH6	46.05103	14.50489	Hammerite Quick Dry HAM 22B-SYZ	store_terminal
AR-fRBPk5	ap_UkiY6Zjcok	2022-07-21T19:49:48Z	arch_cust_064	arch_store_brno_veveri	Brno	14400	EUR	pm_arch_DSxG95c5CxCu	dev_arch_SAbNiqMpM7jX	49.20432	16.59384	Hansgrohe Compact Logis 1ZN-TEP	web
AR-DSfepY	ap_ERHeou9d5L	2022-07-21T22:47:48Z	arch_cust_031	arch_store_graz_jakomini	Graz	8200	EUR	pm_arch_6t4iKyiC9x9H	dev_arch_Wfk8d4EB7Yvb	47.06562	15.44306	Caparol Premium Capa 32D-5X8	store_terminal
AR-eLsMEq	ap_3US8FT9ppm	2022-07-22T02:13:48Z	arch_cust_047	arch_store_salzburg_elisabeth_vorstadt	Salzburg	2800	EUR	pm_arch_Mi7iH14t5Kt4	dev_arch_P3QYmPxbDBrw	47.81298	13.04596	Michelin Compact Radius XBS-24G	store_terminal
AR-bPn1cG	ap_9URyUaaFhL	2022-07-22T05:49:48Z	arch_cust_091	arch_store_graz_jakomini	Graz	3000	EUR	pm_arch_Lg95CxZ9UYEM	dev_arch_Vp1TSMy3jMTr	47.06532	15.44328	Uvex Industrial uvex 2KV-937	web
AR-DB7n7P	ap_TBXCEYoTST	2022-07-22T07:21:48Z	arch_cust_054	arch_store_ljubljana_center	Ljubljana	83400	EUR	pm_arch_BWT9SEn2fXK7	dev_arch_8QfF9jCQS2qP	46.05131	14.50511	Einhell Expert GC RPD-J21	web
AR-gwJnPp	ap_jfBuBg6sKJ	2022-07-22T22:01:48Z	arch_cust_014	arch_store_linz_hauptplatz	Linz	13000	EUR	pm_arch_UB5DsJoQLjEU	dev_arch_58Std9s59xED	48.30689	14.28558	Kopp Professional KOP 1ME-LSV	store_terminal
AR-FuEHRi	ap_CMwTiPBTdF	2022-07-23T01:04:48Z	arch_cust_092	arch_store_vienna_meidling	Vienna	9400	EUR	pm_arch_Nibfb2xD2NR4	dev_arch_5hqMpbg17UPK	48.17499	16.33570	Fischer Universal SX 1PF-JY8	store_terminal
AR-Pzd3kK	ap_LnWUSmJWKk	2022-07-23T01:39:48Z	arch_cust_083	arch_store_bratislava_stare_mesto	Bratislava	2000	EUR	pm_arch_LCVQ4pYTYm8V	dev_arch_LQBLTvE2cGUU	48.14393	17.10953	Ajax Concentrate Fresh 252-QRO	web
AR-fj98kg	ap_3WUA1eYAGB	2022-07-23T08:53:48Z	arch_cust_081	arch_store_brno_veveri	Brno	34600	EUR	pm_arch_7X12kGTh9dzX	dev_arch_HkJBExkBsxNe	49.20461	16.59332	Rothenberger Rocut Rofrost 2I6-9CE	store_terminal
AR-T8BXvi	ap_A1JcuwMcdb	2022-07-23T13:19:48Z	arch_cust_088	arch_store_graz_jakomini	Graz	99900	EUR	pm_arch_VFmAc1b7sQt7	dev_arch_6r4KCzZS39XG	47.06540	15.44323	Husqvarna Compact 435 2ID-D4H	store_terminal
AR-Cf8Qbv	ap_ExpYmAPXE4	2022-07-23T21:01:48Z	arch_cust_091	arch_store_linz_hauptplatz	Linz	20300	EUR	pm_arch_Lg95CxZ9UYEM	dev_arch_M99FQ91KQuA9	48.30663	14.28571	Einhell Expert GC RPD-J21	store_terminal
AR-JzZsaf	ap_BQAHP74xWa	2022-07-24T05:13:48Z	arch_cust_100	arch_store_vienna_praterstern	Vienna	4400	EUR	pm_arch_N9B3J4HVkoDx	dev_arch_W8zLckzoTVH6	48.21886	16.39276	3M SecureFit Aura TUM-I54	store_terminal
AR-Rpsqwm	ap_YbEHcZ2KQx	2022-07-24T05:49:48Z	arch_cust_077	arch_store_vienna_praterstern	Vienna	12800	EUR	pm_arch_Db4BWmhKfesa	dev_arch_DvGTfU7Y4W8u	48.21931	16.39264	Bostik Flexible Fix 3S9-FF7	web
AR-2Btx9V	ap_4JFAYqyQgg	2022-07-24T08:55:48Z	arch_cust_078	arch_store_graz_jakomini	Graz	10500	EUR	pm_arch_Fs9xjYpLTaj7	dev_arch_R2UFp2gYYbvz	47.06516	15.44308	Hager Workshop HAG 1RH-81U	store_terminal
AR-8g6KZN	ap_QHMX4V8F1t	2022-07-24T09:32:48Z	arch_cust_068	arch_store_bratislava_stare_mesto	Bratislava	156700	EUR	pm_arch_JRe2Wx2XjuZX	dev_arch_QFVk8wBDev1L	48.14384	17.10987	Record Power Professional BS 4YQ-EUK	web
AR-RJ8tGw	ap_SgtG6x8NJ2	2022-07-24T11:49:48Z	arch_cust_079	arch_store_linz_hauptplatz	Linz	9200	EUR	pm_arch_DedgWQviHR3x	dev_arch_31QZ7crVkXCa	48.30688	14.28602	Karcher WD SC 1PM-1UM	web
