row_id	archive_payment_id	created_at	customer_ref	store_ref	store_city	amount_cents	currency	payment_method_fingerprint	device_fingerprint	observed_lat	observed_lon	sku_summary	archive_channel
AR-d5qda2	ap_NEHgu64QCC	2023-10-03T04:35:18Z	arch_cust_097	arch_store_graz_lend	Graz	1700	EUR	pm_arch_B6A6m5Z4exGD	dev_arch_Xd69EbitLVJZ	47.07360	15.42581	Portwest PW3 DX 3TU-ST2	web
AR-AiELTA	ap_4UEZ6LjRPH	2023-10-03T04:56:18Z	arch_cust_006	arch_store_vienna_praterstern	Vienna	12400	EUR	pm_arch_2VZ3faGTEFg2	dev_arch_Mb2EQpbEuPDH	48.21896	16.39263	Engelbert Strauss e.s.vision e.s. 150-ZC6	web
AR-NUect2	ap_8fwaViRZwh	2023-10-03T05:42:18Z	arch_cust_049	arch_store_linz_hauptplatz	Linz	8000	EUR	pm_arch_2R4kRX48Qvmt	dev_arch_ErHEQxNFtLin	48.30687	14.28604	Bahco Workshop BAH 3VZ-SPH	web
AR-5iZmv7	ap_BCH2Upp3vV	2023-10-03T06:45:18Z	arch_cust_064	arch_store_vienna_praterstern	Vienna	15800	EUR	pm_arch_HV2tE43td6i3	dev_arch_WxSDZAXWrXpp	48.21906	16.39274	Engelbert Strauss Classic e.s. 37H-N9K	store_terminal
AR-5id37E	ap_Rd8nj3QHHm	2023-10-03T08:05:18Z	arch_cust_018	arch_store_bratislava_stare_mesto	Bratislava	18200	EUR	pm_arch_Q5yW4mktnhQD	dev_arch_LC3yFRQpZeMk	48.14372	17.10993	Keter Deep Stack 2OO-VJU	web
AR-BkGZ6D	ap_3b4AXN5aza	2023-10-03T09:11:18Z	arch_cust_082	arch_store_innsbruck_wilten	Innsbruck	4200	EUR	pm_arch_VY63ggntVxmS	dev_arch_RMNsNPGDtkrP	47.25861	11.38946	Gardena Smart PowerMax 280-5FI	store_terminal
AR-6w3e58	ap_Lb6aEw6N2V	2023-10-03T11:49:18Z	arch_cust_098	arch_store_ljubljana_center	Ljubljana	1400	EUR	pm_arch_LXVWcrXxi8NQ	dev_arch_2vkibfpFtgfL	46.05107	14.50500	Sonax Premium Gloss 304-ZK0	web
AR-iy31mp	ap_J7LH66ksXP	2023-10-03T12:05:18Z	arch_cust_095	arch_store_salzburg_elisabeth_vorstadt	Salzburg	9000	EUR	pm_arch_XDfZMBHB1jnz	dev_arch_6FwThnYnWugW	47.81322	13.04555	Sonax Workshop XTREME 218-FC5	web
AR-65fgTX	ap_PHWfNYDGAg	2023-10-03T12:36:18Z	arch_cust_047	arch_store_linz_hauptplatz	Linz	8400	EUR	pm_arch_3W5BoEYV3MZE	dev_arch_QHXNKDxh5fPA	48.30694	14.28609	Gardena Smart PowerMax 280-5FI	store_terminal
AR-XgwMbP	ap_Ax3TD8Pn9F	2023-10-03T14:48:18Z	arch_cust_085	arch_store_innsbruck_wilten	Innsbruck	5200	EUR	pm_arch_C5EkQXizzh1K	dev_arch_76CYwju3WK2a	47.25810	11.38926	Mobil All Season Super 1ZE-TCR	store_terminal
AR-Mi46v3	ap_TLXaGhAM9B	2023-10-03T14:53:18Z	arch_cust_064	arch_store_innsbruck_wilten	Innsbruck	13000	EUR	pm_arch_HV2tE43td6i3	dev_arch_HFtLwwsHp9SM	47.25798	11.38941	Keter Deep Stack 2OO-VJU	web
AR-Zxh3hx	ap_PJAMC1GS6z	2023-10-03T15:26:18Z	arch_cust_040	arch_store_brno_veveri	Brno	15100	EUR	pm_arch_BhPtPfVkUeEC	dev_arch_8ysi3mtYzbgF	49.20431	16.59335	Ryobi Precision RLM 2KQ-R4C	web
AR-X6Xz7f	ap_3LWfCepuPF	2023-10-03T15:41:18Z	arch_cust_005	arch_store_innsbruck_wilten	Innsbruck	18600	EUR	pm_arch_UkgBS3NqbWvU	dev_arch_L1xdskLUP4i6	47.25858	11.38918	Sonax Premium Gloss 304-ZK0	store_terminal
AR-PQBhfA	ap_4QS8rmFofp	2023-10-03T16:13:18Z	arch_cust_029	arch_store_graz_lend	Graz	1700	EUR	pm_arch_QoucstpzuDhB	dev_arch_Gi5vMgmF7erm	47.07361	15.42590	Keter Deep Stack 2OO-VJU	store_terminal
AR-ACkwbM	ap_B7buYWvMfT	2023-10-03T19:53:18Z	arch_cust_035	arch_store_salzburg_elisabeth_vorstadt	Salzburg	4000	EUR	pm_arch_PwZKH96oLK7D	dev_arch_Rc6VGwFUhs2S	47.81293	13.04577	Bahco Workshop BAH 3VZ-SPH	store_terminal
AR-FBHLuZ	ap_47tj4ucErb	2023-10-03T21:23:18Z	arch_cust_070	arch_store_ljubljana_center	Ljubljana	1600	EUR	pm_arch_K6aGF1cj4kUP	dev_arch_8S9Nyg8HpCYE	46.05104	14.50536	Geberit Mapress Silent IC5-GU6	web
AR-beHD7V	ap_9SrXNa314X	2023-10-03T22:43:18Z	arch_cust_028	arch_store_bratislava_stare_mesto	Bratislava	36000	EUR	pm_arch_E7as1Mqs4Zm6	dev_arch_AsUPiUGduiN3	48.14398	17.10970	Metabo Brushless BS 1OW-IK5	store_terminal
AR-79jwEW	ap_BTxTj8a1Rm	2023-10-03T23:09:18Z	arch_cust_004	arch_store_graz_jakomini	Graz	2000	EUR	pm_arch_cxavGD8orSDz	dev_arch_HeeaK9GApM3Z	47.06562	15.44335	Mellerud Bio MEL 233-MOB	web
AR-8V1G6C	ap_N1edL3YBTW	2023-10-04T00:30:18Z	arch_cust_011	arch_store_linz_hauptplatz	Linz	15100	EUR	pm_arch_9MmTZqp8xEkK	dev_arch_FJkE5jSeuCvg	48.30691	14.28545	Ryobi Precision RLM 2KQ-R4C	store_terminal
AR-Vbmmhx	ap_96Nz6b9fsC	2023-10-04T02:13:18Z	arch_cust_082	arch_store_brno_veveri	Brno	120700	EUR	pm_arch_UtzRgi7Pjufn	dev_arch_PYcV5p2ryk2C	49.20491	16.59392	Bosch Bench IXO 3JP-JOU	store_terminal
AR-Hq38CC	ap_5JurWbGuFx	2023-10-04T03:33:18Z	arch_cust_033	arch_store_linz_hauptplatz	Linz	3800	EUR	pm_arch_VPAk8WvxwUb2	dev_arch_8az7EJHrUykV	48.30697	14.28565	Gorilla Crystal Grip 2ZQ-D83	web
AR-Fn4HwJ	ap_JirMHHHdaZ	2023-10-04T06:56:18Z	arch_cust_010	arch_store_graz_jakomini	Graz	45400	EUR	pm_arch_Ef9JLvVewjhN	dev_arch_wXYZYhvEbka7	47.06578	15.44326	Geberit Mapress Silent IC5-GU6	store_terminal
AR-djnjfh	ap_KqCebUaLDz	2023-10-04T06:59:18Z	arch_cust_023	arch_store_ljubljana_center	Ljubljana	11200	EUR	pm_arch_4eRqDNyerDcs	dev_arch_XK8fLPvEQDvr	46.05129	14.50516	Fischer SX SX 7UY-G03	store_terminal
AR-3gRue5	ap_8X5zapSnHd	2023-10-04T10:15:18Z	arch_cust_061	arch_store_linz_hauptplatz	Linz	10100	EUR	pm_arch_KV4ARWugsZ2o	dev_arch_XYzWheJDbFPA	48.30679	14.28579	Schneider Electric Heavy Duty Merten 214-ZHY	store_terminal
AR-i9nAMG	ap_ScQ6EGN4Fg	2023-10-04T11:41:18Z	arch_cust_029	arch_store_graz_jakomini	Graz	3400	EUR	pm_arch_QoucstpzuDhB	dev_arch_9SdPc7yKfWkD	47.06565	15.44279	Portwest PW3 DX 3TU-ST2	store_terminal
AR-ecvzvi	ap_LKvWMGtvU1	2023-10-04T12:03:18Z	arch_cust_077	arch_store_vienna_meidling	Vienna	15800	EUR	pm_arch_8rrwP2PDPb95	dev_arch_TpAEbDMkNSMR	48.17485	16.33547	Engelbert Strauss Classic e.s. 37H-N9K	web
AR-SLWmsy	ap_7TxeXiBeHV	2023-10-04T12:05:18Z	arch_cust_060	arch_store_ljubljana_center	Ljubljana	474200	EUR	pm_arch_ABJs3XLsdsQQ	dev_arch_MKphcE2ATsfN	46.05099	14.50534	Bosch Bench IXO 3JP-JOU	store_terminal
AR-JAcbJ1	ap_12JECYiz7F	2023-10-04T15:23:18Z	arch_cust_094	arch_store_vienna_praterstern	Vienna	11400	EUR	pm_arch_Xz8Xs2viEhB3	dev_arch_Qr33t6pBtgek	48.21888	16.39225	Philips Professional Hue 3JS-MSN	store_terminal
AR-RC9ArS	ap_JCrkP5YQ4X	2023-10-04T18:05:18Z	arch_cust_057	arch_store_graz_lend	Graz	34400	EUR	pm_arch_5S4d2fZ3qhD2	dev_arch_Xh63zGTUd2Vy	47.07320	15.42591	Bosch Compact PKS 375-EOK	store_terminal
AR-VUxgwL	ap_QM7w8tXkUf	2023-10-04T18:15:18Z	arch_cust_036	arch_store_graz_lend	Graz	96000	EUR	pm_arch_596xvCnwGggQ	dev_arch_RPz7MrTAa5Mk	47.07358	15.42623	Metabo Brushless BS 1OW-IK5	store_terminal
AR-bx4uVT	ap_MSXKTBbUDm	2023-10-04T19:08:18Z	arch_cust_008	arch_store_salzburg_elisabeth_vorstadt	Salzburg	9900	EUR	pm_arch_XNh8Ey9nBQNu	dev_arch_9cEroJ6yT9Ft	47.81307	13.04611	Bahco Comfort Grip BE 1ZR-PGS	web
AR-GseDAq	ap_2L2KMT7iSe	2023-10-04T21:50:18Z	arch_cust_012	arch_store_vienna_meidling	Vienna	69900	EUR	pm_arch_L4v5cXDTEWhy	dev_arch_U38pWq9YABe6	48.17468	16.33530	Metabo Brushless BS 1OW-IK5	web
AR-W4q5Yi	ap_MwVw1mhSiD	2023-10-04T21:53:18Z	arch_cust_016	arch_store_linz_hauptplatz	Linz	21000	EUR	pm_arch_XY6QMsneNEJt	dev_arch_J9kBu3GoWUdB	48.30662	14.28566	Engelbert Strauss Classic e.s. 37H-N9K	store_terminal
AR-R5SyvG	ap_URspoJZ78p	2023-10-04T22:53:18Z	arch_cust_015	arch_store_salzburg_elisabeth_vorstadt	Salzburg	4600	EUR	pm_arch_TgJEGetS5Hx9	dev_arch_TZrmYLW9Kdab	47.81292	13.04586	Dresselhaus Outdoor Pro 1VG-P5G	web
AR-NT5Rpc	ap_3oaGAWFUAv	2023-10-04T23:11:18Z	arch_cust_012	arch_store_vienna_meidling	Vienna	34200	EUR	pm_arch_L4v5cXDTEWhy	dev_arch_U38pWq9YABe6	48.17515	16.33547	Raaco Professional CarryLite 3CS-7A9	web
AR-gXR5Xt	ap_GQh96XVYrx	2023-10-04T23:11:18Z	arch_cust_059	arch_store_graz_jakomini	Graz	15800	EUR	pm_arch_FeaxCWTKPXm2	dev_arch_JjfztJgbFdyH	47.06543	15.44344	Engelbert Strauss Classic e.s. 37H-N9K	store_terminal
AR-9hjVu8	ap_8F479Rp9Ko	2023-10-05T03:53:18Z	arch_cust_029	arch_store_innsbruck_wilten	Innsbruck	41400	EUR	pm_arch_QoucstpzuDhB	dev_arch_9SdPc7yKfWkD	47.25824	11.38935	Festool Modular CTL XPW-76I	web
AR-Gh1D9L	ap_LuSwnKGyCx	2023-10-05T05:27:18Z	arch_cust_038	arch_store_brno_veveri	Brno	18200	EUR	pm_arch_PgUV9nW6duat	dev_arch_G4LXZEP5K1rV	49.20470	16.59349	Sonax Workshop XTREME 218-FC5	store_terminal
AR-5DWbpV	ap_XKSXMDsvRa	2023-10-05T10:53:18Z	arch_cust_040	arch_store_linz_hauptplatz	Linz	12400	EUR	pm_arch_BhPtPfVkUeEC	dev_arch_EQTxupZGUAte	48.30716	14.28579	Gardena Smart PowerMax 280-5FI	web
AR-UYioxm	ap_X9wtfNpKM2	2023-10-05T10:53:18Z	arch_cust_099	arch_store_ljubljana_center	Ljubljana	8000	EUR	pm_arch_HrExgnB7PGJS	dev_arch_6hPtUjJbSnHu	46.05112	14.50485	Bahco Workshop BAH 3VZ-SPH	store_terminal
AR-DujrDS	ap_Gzmzj7ubKd	2023-10-05T15:23:18Z	arch_cust_100	arch_store_vienna_meidling	Vienna	15100	EUR	pm_arch_AaUYKHpu15xL	dev_arch_8xhkoQkaqTKt	48.17471	16.33535	Ryobi Precision RLM 2KQ-R4C	store_terminal
AR-ecoQQC	ap_55jGrcGhXE	2023-10-05T15:29:18Z	arch_cust_049	arch_store_brno_veveri	Brno	10400	EUR	pm_arch_2R4kRX48Qvmt	dev_arch_ErHEQxNFtLin	49.20484	16.59347	Engelbert Strauss Classic e.s. 37H-N9K	web
AR-6SZdeP	ap_FAUChkCMVU	2023-10-05T15:53:18Z	arch_cust_082	arch_store_brno_veveri	Brno	139800	EUR	pm_arch_UtzRgi7Pjufn	dev_arch_PYcV5p2ryk2C	49.20432	16.59384	Metabo Brushless BS 1OW-IK5	store_terminal
AR-TKEFiZ	ap_Poqrpf75Z3	2023-10-05T16:17:18Z	arch_cust_037	arch_store_bratislava_stare_mesto	Bratislava	19800	EUR	pm_arch_vgPH4GBaoacS	dev_arch_2zVr9ysKzUfk	48.14419	17.10971	Bahco Comfort Grip BE 1ZR-PGS	store_terminal
AR-5L7YZR	ap_8dzwWZMSye	2023-10-05T19:49:18Z	arch_cust_051	arch_store_bratislava_stare_mesto	Bratislava	65300	EUR	pm_arch_Ly2YvNJYUeDu	dev_arch_4TPYRRXAeNca	48.14355	17.10944	Bosch Bench IXO 3JP-JOU	store_terminal
AR-bd17b9	ap_6u1SojBKZY	2023-10-05T20:05:18Z	arch_cust_087	arch_store_ljubljana_center	Ljubljana	13200	EUR	pm_arch_Dai1Dg1dH92o	dev_arch_L4SG8ALw3vYn	46.05102	14.50504	Mascot Advanced ACC 35W-IIS	store_terminal
AR-STtNav	ap_NJ528jKrD2	2023-10-06T05:32:18Z	arch_cust_076	arch_store_ljubljana_center	Ljubljana	5600	EUR	pm_arch_SoAHtsmGKCWQ	dev_arch_EWWGd4gMbNwE	46.05140	14.50536	Fischer SX SX 7UY-G03	store_terminal
AR-h1rCv5	ap_WqXWeDCNPV	2023-10-06T06:05:18Z	arch_cust_100	arch_store_bratislava_stare_mesto	Bratislava	1400	EUR	pm_arch_MYpCktCSTZLk	dev_arch_2pkNCHcReWyd	48.14415	17.10941	Sonax Premium Gloss 304-ZK0	store_terminal
AR-R6rNoz	ap_EZkSkUtUyp	2023-10-06T06:08:18Z	arch_cust_032	arch_store_innsbruck_wilten	Innsbruck	34400	EUR	pm_arch_PSr1r32rtfxB	dev_arch_BoV5uVvRCnKS	47.25855	11.38912	Bosch Compact PKS 375-EOK	web
AR-BJrb9Q	ap_BddHaaChee	2023-10-06T11:17:18Z	arch_cust_034	arch_store_graz_jakomini	Graz	57900	EUR	pm_arch_rT55shUkTFJ2	dev_arch_3hqfNenzkovm	47.06543	15.44304	Fiskars Battery X 1CD-A3X	web
AR-9fytz8	ap_3YRtfxQ2HP	2023-10-06T13:25:18Z	arch_cust_076	arch_store_innsbruck_wilten	Innsbruck	247000	EUR	pm_arch_9BNNgDHdSi1F	dev_arch_EWWGd4gMbNwE	47.25856	11.38923	Makita Workshop DDF OIE-YYP	store_terminal
AR-eq6few	ap_NzsUA935Wk	2023-10-06T17:29:18Z	arch_cust_062	arch_store_linz_hauptplatz	Linz	30400	EUR	pm_arch_TfSP38G7Q7A6	dev_arch_Tptm11bmKnak	48.30655	14.28588	Makita Workshop DDF OIE-YYP	web
AR-dFc4bP	ap_VheDsteJQq	2023-10-07T02:05:18Z	arch_cust_035	arch_store_brno_veveri	Brno	55800	EUR	pm_arch_4jKEhJ84rM35	dev_arch_HeVCUKWo8giu	49.20460	16.59385	Bosch Compact PKS 375-EOK	web
AR-EX7Mnv	ap_BNmFUPnEka	2023-10-07T03:45:18Z	arch_cust_078	arch_store_vienna_praterstern	Vienna	2700	EUR	pm_arch_Bi3UY9zndJN4	dev_arch_EbMeuwn2niFC	48.21892	16.39290	Sika Professional Sika 28T-UV8	web
AR-JFjoED	ap_Qbe8rCmUNU	2023-10-07T09:50:18Z	arch_cust_045	arch_store_brno_veveri	Brno	1100	EUR	pm_arch_GYrNRmASvANz	dev_arch_3gLeS9TJ1hnN	49.20492	16.59394	Helios Professional Helios 29A-FTE	web
AR-3pxXrJ	ap_7EtLX4EyEV	2023-10-07T10:08:18Z	arch_cust_082	arch_store_graz_lend	Graz	1400	EUR	pm_arch_VY63ggntVxmS	dev_arch_PYcV5p2ryk2C	47.07342	15.42605	Sonax Premium Gloss 304-ZK0	store_terminal
AR-ArztwA	ap_6GA2yFWJNs	2023-10-07T18:03:18Z	arch_cust_039	arch_store_vienna_meidling	Vienna	5000	EUR	pm_arch_YFH8mMfw1z5N	dev_arch_JvAzBA9sJYWc	48.17477	16.33549	Portwest PW3 DX 3TU-ST2	web
AR-4QQVyt	ap_4RawyXLsoU	2023-10-07T22:02:18Z	arch_cust_090	arch_store_innsbruck_wilten	Innsbruck	800	EUR	pm_arch_Q1h5E6NkTzjm	dev_arch_Sw6cbiQiMpXw	47.25828	11.38954	Sika Professional Sika 28T-UV8	store_terminal
AR-PgsFpE	ap_44X6nWKhAu	2023-10-08T01:53:18Z	arch_cust_028	arch_store_innsbruck_wilten	Innsbruck	9300	EUR	pm_arch_LsLXUbVngJMu	dev_arch_AsUPiUGduiN3	47.25801	11.38954	Sonax Premium Gloss 304-ZK0	web
AR-dZiaKz	ap_bPaz2wGFCh	2023-10-08T04:38:18Z	arch_cust_041	arch_store_linz_hauptplatz	Linz	15800	EUR	pm_arch_Q5HHYEHHhDXQ	dev_arch_FCvNi46Voo2o	48.30688	14.28602	Wiha VDE VDE 13X-B49	store_terminal
AR-cY4wt4	ap_2NeuUhXZzk	2023-10-08T09:31:18Z	arch_cust_017	arch_store_innsbruck_wilten	Innsbruck	1700	EUR	pm_arch_NCWiBUePZvXq	dev_arch_33KeHPyCJwFR	47.25808	11.38961	Portwest PW3 DX 3TU-ST2	web
AR-QFen6F	ap_YDusd1HpiC	2023-10-08T14:11:18Z	arch_cust_006	arch_store_innsbruck_wilten	Innsbruck	7300	EUR	pm_arch_T4WMu333stYm	dev_arch_Mb2EQpbEuPDH	47.25797	11.38958	Bahco Workshop BAH 3VZ-SPH	web
AR-2BmRSZ	ap_FZzx4f5dnC	2023-10-08T20:29:18Z	arch_cust_081	arch_store_innsbruck_wilten	Innsbruck	9100	EUR	pm_arch_6ssMjmyg8v84	dev_arch_NvmQH4erqVUm	47.25819	11.38968	Sonax Workshop XTREME 218-FC5	store_terminal
AR-hSSTm9	ap_BLRFQ8pyTd	2023-10-09T02:37:18Z	arch_cust_077	arch_store_linz_hauptplatz	Linz	43200	EUR	pm_arch_8rrwP2PDPb95	dev_arch_TpAEbDMkNSMR	48.30671	14.28615	Viega Professional Sanpress 2OG-ENN	web
AR-cndx9N	ap_6f1Skif13r	2023-10-09T15:58:26Z	arch_cust_096	arch_store_linz_hauptplatz	Linz	7000	EUR	pm_arch_9wsNaZEajGSm	dev_arch_Ubrr8contCkW	48.30724	14.28589	Mascot Advanced ACC 35W-IIS	store_terminal
AR-gmHRAT	ap_VQScGFwhDv	2023-10-09T22:53:18Z	arch_cust_051	arch_store_graz_jakomini	Graz	5000	EUR	pm_arch_JzQZvcW2W5zg	dev_arch_7P5Bkj6HfgY5	47.06568	15.44301	Portwest PW3 DX 3TU-ST2	web
AR-NrEtbd	ap_U7aDZh5TP1	2023-10-09T23:48:18Z	arch_cust_091	arch_store_bratislava_stare_mesto	Bratislava	5600	EUR	pm_arch_Hakb4y1Rphbo	dev_arch_Un59djTUFEAz	48.14393	17.10951	Fischer SX SX 7UY-G03	web
AR-Y5NiFh	ap_H2nqq3tty3	2023-10-10T04:53:18Z	arch_cust_026	arch_store_graz_lend	Graz	9100	EUR	pm_arch_N35aPJiAbgRr	dev_arch_QqqofdBCwbnu	47.07337	15.42576	Keter Deep Stack 2OO-VJU	web
AR-gyHtsw	ap_LD8wbMY7FM	2023-10-10T13:01:18Z	arch_cust_100	arch_store_salzburg_elisabeth_vorstadt	Salzburg	237100	EUR	pm_arch_MYpCktCSTZLk	dev_arch_2pkNCHcReWyd	47.81311	13.04555	Bosch Bench IXO 3JP-JOU	store_terminal
AR-E2aC7F	ap_5sgCr1uQyX	2023-10-10T18:33:53Z	arch_cust_096	arch_store_bratislava_stare_mesto	Bratislava	5600	EUR	pm_arch_LiMugEvvGmmS	dev_arch_Ubrr8contCkW	48.14373	17.10936	Gorilla Crystal Grip 2ZQ-D83	store_terminal
AR-5UCM93	ap_XfFa75hc13	2023-10-10T22:17:18Z	arch_cust_033	arch_store_brno_veveri	Brno	7300	EUR	pm_arch_VPAk8WvxwUb2	dev_arch_8az7EJHrUykV	49.20429	16.59335	Bahco Workshop BAH 3VZ-SPH	web
AR-ZJ574c	ap_QodqffNDn7	2023-10-11T16:47:40Z	arch_cust_096	arch_store_linz_hauptplatz	Linz	31600	EUR	pm_arch_9wsNaZEajGSm	dev_arch_Ubrr8contCkW	48.30697	14.28596	Engelbert Strauss Classic e.s. 37H-N9K	store_terminal
AR-MTMrSj	ap_RKbV71MpHE	2023-10-11T20:21:18Z	arch_cust_054	arch_store_linz_hauptplatz	Linz	3300	EUR	pm_arch_B7uhhG9kGavb	dev_arch_HLYEnFZd1fTP	48.30723	14.28551	Mellerud Bio MEL 233-MOB	store_terminal
AR-HFLY6x	ap_HUFjgWXFrj	2023-10-12T12:29:27Z	arch_cust_096	arch_store_ljubljana_center	Ljubljana	26400	EUR	pm_arch_LiMugEvvGmmS	dev_arch_659L4nhKmt6M	46.05117	14.50493	Raaco Professional CarryLite 3CS-7A9	store_terminal
