AR-KjMHww	ap_KqPktTnDGh	2024-12-23T02:27:21Z	arch_cust-0013	arch_store-vie-meidling	Vienna	19990	EUR	pm_arch_AUfn5qhAGmYD	dev_arch_YUp74HQVeuDW	48.17590	16.33520	PT-SAW-DEW-DWE575K-FINE	store_terminal
AR-gv3DjR	ap_SNEUfsF2Bm	2024-12-23T07:06:21Z	arch_cust-0006	arch_store-innsbruck-west	Innsbruck	34990	EUR	pm_arch_TbdLzZwzVd3R	dev_arch_8j4ywxHTX8gY	47.26365	11.37219	PT-WASH-KAR-K4-CAR	web
AR-8guMhf	ap_JAVmjRgEhq	2024-12-23T08:36:21Z	arch_cust-0046	arch_store-graz-puntigam	Graz	27990	EUR	pm_arch_BX2eGrZA6sVT	dev_arch_6G1UzyBjwrZt	47.03358	15.42286	PT-CMP-EIN-TEAC270-50S	store_terminal
AR-C4RkDP	ap_EcVUhgX19x	2024-12-23T10:02:21Z	arch_cust-0022	arch_store-vie-meidling	Vienna	26990	EUR	pm_arch_6VGqYUxEdNzm	dev_arch_7TTTBDxDtSdc	48.17603	16.33509	PT-DRL-BOS-GSR55-5AH	store_terminal
AR-hyws6y	ap_Bxv4jdim23	2024-12-23T10:28:21Z	arch_cust-0019	arch_store-innsbruck-ost	Innsbruck	990	EUR	pm_arch_WJTbxiwdtMbS	dev_arch_KJoC7ScdmZ4r	47.27162	11.43025	PT-SAFE-3M-SF400-CLEAR	store_terminal
AR-6eeMhX	ap_NjtkTikZ6T	2024-12-23T13:13:21Z	arch_cust-0059	arch_store-graz-eggenberg	Graz	2490	EUR	pm_arch_AMTH13SgDh6p	dev_arch_2nVbQhd7daKM	47.07359	15.39883	PT-DIG-PLAN-WORKBENCH	store_terminal
AR-e6kV9f	ap_WTrmHMDLjT	2024-12-23T16:55:21Z	arch_cust-0142	arch_store-salzburg-alpenstrasse	Salzburg	29980	EUR	pm_arch_KaD1aFAA3vpU	dev_arch_8EC63ZajBa2M	47.77633	13.06369	PT-SND-BOS-GEX125-DUST	store_terminal
AR-g4zxQ6	ap_Medxp8rsxd	2024-12-23T21:58:21Z	arch_cust-0028	arch_store-innsbruck-mitte	Innsbruck	3990	EUR	pm_arch_69GJp6fnQDPb	dev_arch_YKoW6bxwahvT	47.26918	11.40437	PT-BLA-BOS-EXPWOOD-160	web
AR-DnFmh2	ap_9M4CQ67Dch	2024-12-23T22:08:21Z	arch_cust-0021	arch_store-innsbruck-mitte	Innsbruck	57980	EUR	pm_arch_RbXN5RVJD6JV	dev_arch_PYqc6mJUtsHz	47.26922	11.40407	PT-DRL-MAK-DDF485-5AH	web
AR-YhxxuT	ap_7N9JeVZXVw	2024-12-23T22:16:21Z	arch_cust-0004	arch_store-salzburg-alpenstrasse	Salzburg	27980	EUR	pm_arch_C51YN8jtRxxB	dev_arch_SfbyA9DkdsRv	47.77621	13.06416	PT-SND-EIN-TERS18-40	store_terminal
AR-Jhx4UR	ap_MYnXfnjg8o	2024-12-24T00:33:21Z	arch_cust-0010	arch_store-salzburg-alpenstrasse	Salzburg	5990	EUR	pm_arch_Mes1U2NhJr7d	dev_arch_PaAtWXhVGYsH	47.77639	13.06400	PT-SND-EIN-TERS18-BODY	store_terminal
AR-ETi3g9	ap_GT9BquuX1z	2024-12-24T01:01:21Z	arch_cust-0069	arch_store-salzburg-alpenstrasse	Salzburg	73980	EUR	pm_arch_T5REsfnfsnEt	dev_arch_FXKnmPNSYTNS	47.77615	13.06426	PT-IMP-MIL-M18FID3-5AH	web
AR-XijyNT	ap_YTVMvaeY51	2024-12-24T03:28:21Z	arch_cust-0061	arch_store-linz-hafen	Linz	2990	EUR	pm_arch_EsptLG28FHa5	dev_arch_F6BYv5HNfQAn	48.31364	14.30471	PT-DIG-PLAN-GARDEN-SHED	web
AR-DffH9t	ap_98vD9KhWDo	2024-12-24T06:42:21Z	arch_cust-0042	arch_store-graz-puntigam	Graz	6980	EUR	pm_arch_DinFjZFZWHN5	dev_arch_XWwoQ4sAdwav	47.03336	15.42319	PT-BIT-ALP-HSS-25	web
AR-KCRway	ap_LSUpjZ5SAH	2024-12-24T07:22:21Z	arch_cust-0119	arch_store-linz-urfahr	Linz	10990	EUR	pm_arch_Qd4phxs9XAfy	dev_arch_UJywN61GBpbr	48.32349	14.28475	PT-DRL-MAK-DDF485-BODY	store_terminal
AR-fQqWT6	ap_Dxu2CX6ET7	2024-12-24T07:32:21Z	arch_cust-0156	arch_store-innsbruck-ost	Innsbruck	4290	EUR	pm_arch_CBMDkTvxdUz5	dev_arch_6rRGApgXFh7v	47.27123	11.43023	PT-BLA-MAK-SPEC-190	store_terminal
AR-UfQggS	ap_TnbmUWVsde	2024-12-24T07:44:21Z	arch_cust-0067	arch_store-innsbruck-ost	Innsbruck	1790	EUR	pm_arch_7DcrrTaFcQg3	dev_arch_8dCvBmQspXuK	47.27114	11.43038	PT-DIG-GUIDE-ANCHORS	web
AR-7SZdSV	ap_WnZBEc6HJn	2024-12-24T10:58:21Z	arch_cust-0092	arch_store-vie-donaustadt	Vienna	34990	EUR	pm_arch_GssA7ErMpqiG	dev_arch_51skeYknBeEc	48.23983	16.45089	PT-MOW-EIN-GECM36-2X5	web
AR-5edWQg	ap_VY48jQ5AKY	2024-12-24T16:43:21Z	arch_cust-0071	arch_store-graz-eggenberg	Graz	3490	EUR	pm_arch_DW8Srj9rJSc8	dev_arch_UKB3r91bWFkx	47.07407	15.39851	PT-BIT-ALP-HSS-25	store_terminal
AR-SPDuRk	ap_D8LVTeFGpy	2024-12-24T18:16:21Z	arch_cust-0120	arch_store-salzburg-nord	Salzburg	9980	EUR	pm_arch_5m6oUEcc4f7Y	dev_arch_euBa8MAQNyQ9	47.83171	13.04864	PT-DIG-VIDEO-OUTDOOR-SHED	store_terminal
AR-DE1Ddx	ap_MJfsuXguzk	2024-12-24T18:35:21Z	arch_cust-0103	arch_store-salzburg-alpenstrasse	Salzburg	12990	EUR	pm_arch_ViviPj9KFzzs	dev_arch_KNMRhrxz8THx	47.77602	13.06421	PT-CMP-AIR-CA240-6	web
AR-HPFtZR	ap_BF65tB4DEn	2024-12-25T09:28:21Z	arch_cust-0130	arch_store-innsbruck-mitte	Innsbruck	2580	EUR	pm_arch_Lww5EWybq4qN	dev_arch_NPUThetyo1mE	47.26903	11.40406	PT-DIG-TPL-COMPRESSOR-SIZING	store_terminal
AR-TgHUH2	ap_9ReVCuBMvY	2024-12-25T11:34:21Z	arch_cust-0126	arch_store-salzburg-alpenstrasse	Salzburg	14990	EUR	pm_arch_2xv9kkMkEE4v	dev_arch_CXHTTRrp659g	47.77621	13.06416	PT-GRD-BOS-GWS1400-CASE	web
AR-SUk8zB	ap_WtWVcVkXTd	2024-12-25T13:03:21Z	arch_cust-0081	arch_store-vie-favoriten	Vienna	19990	EUR	pm_arch_VTrtrst19WBZ	dev_arch_FGDeURoAMSnv	48.15248	16.38258	PT-GRD-MET-W18-125-FLAT	store_terminal
AR-BM34kT	ap_NAGiQ19ftX	2024-12-25T13:52:21Z	arch_cust-0123	arch_store-linz-urfahr	Linz	39980	EUR	pm_arch_3cqk73d69KjN	dev_arch_PD2LonVQX346	48.32394	14.28531	PT-SAW-DEW-DWE575K-FINE	web
AR-VCtYyL	ap_3w1jBukXxk	2024-12-25T14:04:21Z	arch_cust-0046	arch_store-linz-kleinmuenchen	Linz	19980	EUR	pm_arch_BX2eGrZA6sVT	dev_arch_GLkzN4Sqnnh1	48.25842	14.30677	PT-GRD-BOS-GWS1400-125	store_terminal
AR-i2Kxj3	ap_J9XFJhqoP5	2024-12-25T18:58:21Z	arch_cust-0112	arch_store-vie-hietzing	Vienna	29990	EUR	pm_arch_U7QLcbT48tAA	dev_arch_5LeMkfg5frZB	48.18651	16.28348	PT-MOW-EIN-GECM36-2X4	store_terminal
AR-ADEoYL	ap_FrA8vmUt7d	2024-12-25T19:28:21Z	arch_cust-0110	arch_store-innsbruck-west	Innsbruck	3990	EUR	pm_arch_WNUJ3BsQGGem	dev_arch_6i8c8upUcU7z	47.26376	11.37247	PT-BLA-BOS-EXPWOOD-160	store_terminal
AR-7JTSsG	ap_B4DKm8pmsf	2024-12-26T03:43:21Z	arch_cust-0106	arch_store-graz-liebenau	Graz	14990	EUR	pm_arch_R9VfmUBN1ELK	dev_arch_8TLCpHukLKXK	47.03350	15.46415	PT-GRD-MET-W18-125-BODY	store_terminal
AR-aBDNY2	ap_MaTce4eiNn	2024-12-26T04:12:21Z	arch_cust-0110	arch_store-graz-center	Graz	65980	EUR	pm_arch_WNUJ3BsQGGem	dev_arch_WA3G1zE2rXsY	47.07038	15.43938	PT-WASH-KAR-K4-PREMIUM	store_terminal
AR-CA74Lp	ap_5LQ7Dhs81L	2024-12-26T06:24:21Z	arch_cust-0018	arch_store-linz-kleinmuenchen	Linz	5980	EUR	pm_arch_7Ga7xqZfhf2k	dev_arch_3j2V94DaSWCp	48.25794	14.30686	PT-BIT-BOS-CYL9-10	web
AR-BN1j6p	ap_LPNfC95bvt	2024-12-26T13:58:21Z	arch_cust-0176	arch_store-linz-hafen	Linz	2580	EUR	pm_arch_Xwvf7uYvfVRD	dev_arch_6C3mtndbXb5B	48.31349	14.30472	PT-DIG-TPL-COMPRESSOR-SIZING	store_terminal
AR-akzAFb	ap_GPBwbtMrc5	2024-12-26T15:17:21Z	arch_cust-0042	arch_store-graz-eggenberg	Graz	43980	EUR	pm_arch_DinFjZFZWHN5	dev_arch_Wb2BrRan9gdB	47.07372	15.39908	PT-CMP-AIR-CA240-SET	store_terminal
AR-DSTVjh	ap_N5jM2bA3TF	2024-12-26T15:58:21Z	arch_cust-0147	arch_store-vie-donaustadt	Vienna	18990	EUR	pm_arch_5ED87KSEQ4mc	dev_arch_TtLRLw3t1zVt	48.24028	16.45120	PT-MOW-EIN-GECM36-BODY	web
AR-fbfRiS	ap_RgXxkpHjR3	2024-12-26T20:28:21Z	arch_cust-0073	arch_store-innsbruck-mitte	Innsbruck	43980	EUR	pm_arch_3YscnhcN9GwP	dev_arch_BduBkAwWUdW4	47.26928	11.40442	PT-WASH-BOS-UA135-PATIO	web
