row_id	archive_payment_id	created_at	customer_ref	store_ref	store_city	amount_cents	currency	payment_method_fingerprint	device_fingerprint	observed_lat	observed_lon	sku	archive_channel
AR-RwUVuW	ap_MJ4VKvanTR	2024-05-16T01:57:54Z	arch_cust-0171	arch_store-vie-favoriten	Vienna	49980	EUR	pm_arch_Hk76gz91JQur	dev_arch_PrKRoKV2GCeq	48.15239	16.38257	PT-SAW-MAK-DHS680-BLADE	web
AR-WZ7TZB	ap_CR6ruGjthv	2024-05-16T02:10:10Z	arch_cust-0171	arch_store-salzburg-maxglan	Salzburg	38990	EUR	pm_arch_Hk76gz91JQur	dev_arch_PrKRoKV2GCeq	47.79889	13.00169	PT-MOW-STI-RMA235-AK30	web
AR-KRRotS	ap_MfkNozbJ6A	2024-05-16T02:16:29Z	arch_cust-0171	arch_store-graz-puntigam	Graz	31410	EUR	pm_arch_Hk76gz91JQur	dev_arch_PrKRoKV2GCeq	47.03345	15.42349	PT-BLA-MAK-SPEC-165	web
AR-2M83T4	ap_WXyGRTuuHN	2024-05-16T02:52:30Z	arch_cust-0171	arch_store-linz-hafen	Linz	38990	EUR	pm_arch_Hk76gz91JQur	dev_arch_PrKRoKV2GCeq	48.31381	14.30459	PT-SAW-MAK-DHS680-RAIL	web
AR-Y5rPDY	ap_UnNmGY5tKS	2024-05-16T02:58:13Z	arch_cust-0171	arch_store-linz-kleinmuenchen	Linz	37980	EUR	pm_arch_Hk76gz91JQur	dev_arch_PrKRoKV2GCeq	48.25836	14.30729	PT-MOW-EIN-GECM36-BODY	web
AR-3Tedk5	ap_2ZTjj51iKY	2024-06-02T09:16:13Z	arch_cust-0047	arch_store-innsbruck-mitte	Innsbruck	2490	EUR	pm_arch_X9mPQZM1pdPK	dev_arch_Fj85U6vzSYZ9	47.26885	11.40377	PT-BIT-ALP-HSS-19	mobile_app
AR-B9StPf	ap_XvPMZt7o9p	2024-06-02T09:16:39Z	arch_cust-0047	arch_store-linz-urfahr	Linz	4490	EUR	pm_arch_7FHcuZdLnVWY	dev_arch_BGykLhZRKe2Q	48.32374	14.28493	PT-BLA-BOS-EXPWOOD-190	mobile_app
AR-hpKUet	ap_92voUbf7sY	2024-06-02T09:16:43Z	arch_cust-0047	arch_store-salzburg-maxglan	Salzburg	1090	EUR	pm_arch_X9mPQZM1pdPK	dev_arch_Fj85U6vzSYZ9	47.79913	13.00163	PT-DIG-TPL-SEALANT-COVERAGE	mobile_app
AR-jZYUQ4	ap_XdbU9PXVm6	2024-06-02T09:17:04Z	arch_cust-0047	arch_store-graz-center	Graz	11990	EUR	pm_arch_7FHcuZdLnVWY	dev_arch_BGykLhZRKe2Q	47.07092	15.43946	PT-GRD-BOS-GWS1400-150	mobile_app
AR-Z6GGBD	ap_PEitAzYRFR	2024-06-02T09:17:13Z	arch_cust-0047	arch_store-linz-hafen	Linz	11990	EUR	pm_arch_7FHcuZdLnVWY	dev_arch_BGykLhZRKe2Q	48.31327	14.30453	PT-HDG-BOS-UHC18-50-BODY	mobile_app
AR-9eXVb5	ap_B8rWtLgm5U	2024-06-02T09:17:49Z	arch_cust-0047	arch_store-salzburg-maxglan	Salzburg	2990	EUR	pm_arch_X9mPQZM1pdPK	dev_arch_Fj85U6vzSYZ9	47.79939	13.00195	PT-DIG-PLAN-GARDEN-SHED	mobile_app
AR-hevKeV	ap_6Npz8s2nV2	2024-06-02T09:17:53Z	arch_cust-0047	arch_store-linz-urfahr	Linz	4990	EUR	pm_arch_X9mPQZM1pdPK	dev_arch_Fj85U6vzSYZ9	48.32375	14.28486	PT-DIG-COURSE-DRILL-BASICS	mobile_app
AR-X8w1dY	ap_26Hm4DRnCK	2024-06-02T09:18:13Z	arch_cust-0047	arch_store-vie-donaustadt	Vienna	5990	EUR	pm_arch_X9mPQZM1pdPK	dev_arch_Fj85U6vzSYZ9	48.23968	16.45088	PT-SND-EIN-TERS18-BODY	mobile_app
AR-YaedVQ	ap_fN47Uoqkkr	2024-06-02T09:18:40Z	arch_cust-0047	arch_store-graz-liebenau	Graz	4490	EUR	pm_arch_7FHcuZdLnVWY	dev_arch_BGykLhZRKe2Q	47.03368	15.46450	PT-BLA-BOS-EXPWOOD-190	mobile_app
AR-Tp721w	ap_T21bHEvnVg	2024-06-02T09:18:46Z	arch_cust-0047	arch_store-salzburg-alpenstrasse	Salzburg	990	EUR	pm_arch_7FHcuZdLnVWY	dev_arch_BGykLhZRKe2Q	47.77630	13.06386	PT-DIG-TPL-DECKING-CALC	mobile_app
AR-iq38JU	ap_VsJUQeLjuk	2024-06-02T09:18:58Z	arch_cust-0047	arch_store-innsbruck-ost	Innsbruck	2990	EUR	pm_arch_7FHcuZdLnVWY	dev_arch_BGykLhZRKe2Q	47.27143	11.43063	PT-DIG-PLAN-GARDEN-SHED	mobile_app
AR-Hz4W5i	ap_KzjCFJerHo	2024-06-02T09:19:41Z	arch_cust-0047	arch_store-vie-meidling	Vienna	6990	EUR	pm_arch_X9mPQZM1pdPK	dev_arch_Fj85U6vzSYZ9	48.17604	16.33509	PT-DIG-COURSE-SAW-STRAIGHT-CUTS	mobile_app
AR-4SPpk7	ap_Y9GkdDZF6Q	2024-06-02T09:21:37Z	arch_cust-0047	arch_store-innsbruck-mitte	Innsbruck	6990	EUR	pm_arch_X9mPQZM1pdPK	dev_arch_Fj85U6vzSYZ9	47.26912	11.40377	PT-DIG-COURSE-SAW-STRAIGHT-CUTS	mobile_app
AR-9cG6su	ap_H8bJf924sX	2024-06-03T09:16:13Z	arch_cust-0130	arch_store-linz-hafen	Linz	3990	EUR	pm_arch_7VRFCJjDDZSY	dev_arch_XWztC5FoCqxv	48.31332	14.30452	PT-BLA-BOS-EXPWOOD-160	service_desk
AR-Q4T6QB	ap_VXi2TL64oo	2024-06-03T09:16:32Z	arch_cust-0130	arch_store-linz-kleinmuenchen	Linz	3490	EUR	pm_arch_CWNRRuZGF4ZH	dev_arch_XWztC5FoCqxv	48.25842	14.30697	PT-BIT-ALP-HSS-25	service_desk
AR-YEjZxv	ap_D8uuUo4etR	2024-06-03T09:16:49Z	arch_cust-0130	arch_store-linz-hafen	Linz	5990	EUR	pm_arch_SfVmn69rZfnm	dev_arch_XWztC5FoCqxv	48.31328	14.30456	PT-DIG-COURSE-GRINDER-SAFETY	service_desk
AR-TxsGtx	ap_WkcZpynDnv	2024-06-03T09:17:28Z	arch_cust-0130	arch_store-innsbruck-ost	Innsbruck	2490	EUR	pm_arch_W386c9AiTJM7	dev_arch_XWztC5FoCqxv	47.27123	11.43044	PT-DIG-PLAN-WORKBENCH	service_desk
AR-bd6cn4	ap_2UWvwY9VXK	2024-06-03T09:17:28Z	arch_cust-0130	arch_store-vie-hietzing	Vienna	1290	EUR	pm_arch_T99tkY8GRea5	dev_arch_XWztC5FoCqxv	48.18657	16.28343	PT-DIG-GUIDE-DRILL-BITS	service_desk
AR-45YDcx	ap_Dv51iSkNq1	2024-06-03T09:17:53Z	arch_cust-0130	arch_store-linz-hafen	Linz	1490	EUR	pm_arch_MYhrCccTPpzs	dev_arch_XWztC5FoCqxv	48.31347	14.30438	PT-DIG-GUIDE-SAW-BLADES	service_desk
AR-FoXWuv	ap_7KH7hUrSyf	2024-06-03T09:18:10Z	arch_cust-0130	arch_store-salzburg-maxglan	Salzburg	11990	EUR	pm_arch_F9SiYZfrAQqT	dev_arch_XWztC5FoCqxv	47.79939	13.00196	PT-HDG-BOS-UHC18-50-BODY	service_desk
AR-ZJrugg	ap_BARaUjn3y2	2024-06-03T09:18:13Z	arch_cust-0130	arch_store-salzburg-alpenstrasse	Salzburg	3990	EUR	pm_arch_Tcq9FWBuK72M	dev_arch_XWztC5FoCqxv	47.77582	13.06367	PT-SAFE-UVEX-PHEOS-HELMET	service_desk
AR-F8okFw	ap_Cf8xMheoat	2024-06-03T09:18:19Z	arch_cust-0130	arch_store-linz-hafen	Linz	1290	EUR	pm_arch_FRmhKdvga7xr	dev_arch_XWztC5FoCqxv	48.31362	14.30436	PT-DIG-TPL-COMPRESSOR-SIZING	service_desk
AR-J7Ue1o	ap_6KU8uSPxiB	2024-06-03T09:18:45Z	arch_cust-0130	arch_store-graz-puntigam	Graz	5990	EUR	pm_arch_3GozTnsdRAz5	dev_arch_XWztC5FoCqxv	47.03375	15.42351	PT-BIT-ALP-HSS-41	service_desk
AR-XcPbfk	ap_UfGrqw2RxE	2024-06-03T09:18:58Z	arch_cust-0130	arch_store-innsbruck-west	Innsbruck	5990	EUR	pm_arch_QsxTYEQNnp4U	dev_arch_XWztC5FoCqxv	47.26352	11.37235	PT-SND-EIN-TERS18-BODY	service_desk
AR-T9DBZh	ap_6bRs8QSRus	2024-06-03T09:19:01Z	arch_cust-0130	arch_store-innsbruck-west	Innsbruck	1490	EUR	pm_arch_AFVKF5umzg6c	dev_arch_XWztC5FoCqxv	47.26381	11.37247	PT-BIT-BOS-CYL9-4	service_desk
AR-ArCPnX	ap_RSF3NJ4uE7	2024-06-03T09:19:53Z	arch_cust-0130	arch_store-graz-puntigam	Graz	1990	EUR	pm_arch_2gkEZa7ymxnR	dev_arch_XWztC5FoCqxv	47.03316	15.42342	PT-BIT-ALP-HSS-13	service_desk
AR-dVucf3	ap_PuspGr4BXW	2024-06-11T14:47:47Z	arch_cust-0168	arch_store-vie-hietzing	Vienna	11980	EUR	pm_arch_EGk8LeA6Y32N	dev_arch_8aih2Md2pLn2	48.18665	16.28362	PT-DIG-COURSE-GRINDER-SAFETY	web
AR-J6ZiZd	ap_FoTbDwEs8o	2024-06-12T17:08:18Z	arch_cust-0168	arch_store-vie-meidling	Vienna	3580	EUR	pm_arch_BfxydLVvvKRL	dev_arch_8aih2Md2pLn2	48.17562	16.33494	PT-DIG-GUIDE-ANCHORS	web
AR-Yj72uu	ap_S9xQEw6Ym9	2024-06-13T12:01:39Z	arch_cust-0168	arch_store-graz-liebenau	Graz	2490	EUR	pm_arch_EGk8LeA6Y32N	dev_arch_8aih2Md2pLn2	47.03367	15.46393	PT-DIG-PLAN-WORKBENCH	store_terminal
AR-8bjYzU	ap_EKpTthXECh	2024-06-14T11:43:22Z	arch_cust-0168	arch_store-vie-favoriten	Vienna	31980	EUR	pm_arch_BfxydLVvvKRL	dev_arch_9aZ5YwghdS5U	48.15279	16.38270	PT-HDG-STI-HSA50-BODY	store_terminal
AR-fDanYs	ap_Mq4RtqMq53	2024-06-15T11:19:11Z	arch_cust-0168	arch_store-graz-puntigam	Graz	85980	EUR	pm_arch_EGk8LeA6Y32N	dev_arch_9aZ5YwghdS5U	47.03321	15.42319	PT-SAW-MAK-DHS680-5AH	store_terminal
AR-grQvrQ	ap_VFa68uCRKx	2024-06-16T16:43:16Z	arch_cust-0168	arch_store-innsbruck-mitte	Innsbruck	39980	EUR	pm_arch_BfxydLVvvKRL	dev_arch_9aZ5YwghdS5U	47.26953	11.40438	PT-GRD-MET-W18-125-FLAT	web
AR-NZA1Vj	ap_EuTX873vuA	2024-06-17T12:56:03Z	arch_cust-0168	arch_store-linz-hafen	Linz	23980	EUR	pm_arch_EGk8LeA6Y32N	dev_arch_8aih2Md2pLn2	48.31387	14.30450	PT-SND-BOS-GEX125-CASE	web
AR-ZtmG7L	ap_3q3ybULV7i	2024-06-18T12:38:30Z	arch_cust-0168	arch_store-graz-liebenau	Graz	18990	EUR	pm_arch_BfxydLVvvKRL	dev_arch_8aih2Md2pLn2	47.03392	15.46435	PT-MOW-EIN-GECM36-BODY	web
AR-59PNuz	ap_LhprXiEzEJ	2024-06-19T10:42:57Z	arch_cust-0168	arch_store-vie-meidling	Vienna	11980	EUR	pm_arch_EGk8LeA6Y32N	dev_arch_8aih2Md2pLn2	48.17609	16.33488	PT-SND-EIN-TERS18-BODY	store_terminal
AR-f2aKzD	ap_XBoubUqyV9	2024-06-20T01:38:53Z	arch_cust-0168	arch_store-graz-puntigam	Graz	42990	EUR	pm_arch_EGk8LeA6Y32N	dev_arch_EPjYPx29bcXv	47.03369	15.42325	PT-SAW-MAK-DHS680-5AH	mobile_app
AR-E5zdya	ap_JDRHLPEbCE	2024-06-20T01:49:01Z	arch_cust-0168	arch_store-graz-center	Graz	69980	EUR	pm_arch_B3JCiuwJBwLo	dev_arch_EPjYPx29bcXv	47.07081	15.43939	PT-SAW-MAK-DHS680-3AH	mobile_app
AR-UWMPJ6	ap_VkmufWsHfR	2024-06-20T01:52:57Z	arch_cust-0168	arch_store-linz-urfahr	Linz	29950	EUR	pm_arch_EGk8LeA6Y32N	dev_arch_EPjYPx29bcXv	48.32368	14.28505	PT-DIG-COURSE-GRINDER-SAFETY	mobile_app
AR-G2Uuyk	ap_D4TZj6mzro	2024-06-20T02:08:59Z	arch_cust-0168	arch_store-vie-meidling	Vienna	34990	EUR	pm_arch_B3JCiuwJBwLo	dev_arch_EPjYPx29bcXv	48.17562	16.33532	PT-SAW-MAK-DHS680-3AH	mobile_app
AR-c56k2n	ap_FoqvqMq3or	2024-06-20T02:14:46Z	arch_cust-0168	arch_store-graz-puntigam	Graz	31920	EUR	pm_arch_B3JCiuwJBwLo	dev_arch_EPjYPx29bcXv	47.03338	15.42354	PT-DIG-VIDEO-GARAGE-STORAGE	mobile_app
AR-VAcUfm	ap_NsS5orN1CK	2024-06-20T02:19:02Z	arch_cust-0168	arch_store-linz-hafen	Linz	29980	EUR	pm_arch_EGk8LeA6Y32N	dev_arch_EPjYPx29bcXv	48.31378	14.30449	PT-GRD-BOS-GWS1400-CASE	mobile_app
